,Landkreis,IdLandkreis
0,SK Flensburg,1001
2500,SK Kiel,1002
10000,SK Lübeck,1003
15002,SK Neumünster,1004
17500,LK Dithmarschen,1051
20000,LK Herzogtum Lauenburg,1053
27503,LK Nordfriesland,1054
30000,LK Ostholstein,1055
34474,LK Pinneberg,1056
45000,LK Plön,1057
47500,LK Rendsburg-Eckernförde,1058
52460,LK Schleswig-Flensburg,1059
55100,LK Segeberg,1060
62508,LK Steinburg,1061
65385,LK Stormarn,1062
72502,SK Hamburg,2000
112682,SK Braunschweig,3101
120001,SK Salzgitter,3102
125509,SK Wolfsburg,3103
130038,LK Gifhorn,3151
135000,LK Goslar,3153
138823,LK Helmstedt,3154
141144,LK Northeim,3155
145000,LK Peine,3157
150000,LK Wolfenbüttel,3158
152513,LK Göttingen,3159
162500,Region Hannover,3241
185122,LK Diepholz,3251
190096,LK Hameln-Pyrmont,3252
195140,LK Hildesheim,3254
205000,LK Holzminden,3255
207501,LK Nienburg (Weser),3256
210017,LK Schaumburg,3257
217346,LK Celle,3351
222500,LK Cuxhaven,3352
227500,LK Harburg,3353
232500,LK Lüchow-Dannenberg,3354
235000,LK Lüneburg,3355
237819,LK Osterholz,3356
242505,LK Rotenburg (Wümme),3357
245048,LK Heidekreis,3358
250001,LK Stade,3359
255018,LK Uelzen,3360
257501,LK Verden,3361
262500,SK Delmenhorst,3401
265000,SK Emden,3402
267507,SK Oldenburg,3403
272689,SK Osnabrück,3404
278340,SK Wilhelmshaven,3405
280646,LK Ammerland,3451
285000,LK Aurich,3452
288325,LK Cloppenburg,3453
297503,LK Emsland,3454
307500,LK Friesland,3455
310000,LK Grafschaft Bentheim,3456
315000,LK Leer,3457
319145,LK Oldenburg,3458
323018,LK Osnabrück,3459
335228,LK Vechta,3460
337500,LK Wesermarsch,3461
340238,LK Wittmund,3462
342517,SK Bremen,4011
357500,SK Bremerhaven,4012
362500,SK Düsseldorf,5111
377502,SK Duisburg,5112
397291,SK Essen,5113
412503,SK Krefeld,5114
417500,SK Mönchengladbach,5116
422709,SK Mülheim a.d.Ruhr,5117
432501,SK Oberhausen,5119
442500,SK Remscheid,5120
447501,SK Solingen,5122
457500,SK Wuppertal,5124
472500,LK Kleve,5154
482500,LK Mettmann,5158
497758,LK Rhein-Kreis Neuss,5162
512511,LK Viersen,5166
520146,LK Wesel,5170
530000,SK Bonn,5314
542500,SK Köln,5315
570000,SK Leverkusen,5316
577780,StädteRegion Aachen,5334
597500,LK Düren,5358
607501,LK Rhein-Erft-Kreis,5362
625000,LK Euskirchen,5366
632500,LK Heinsberg,5370
642500,LK Oberbergischer Kreis,5374
655000,LK Rheinisch-Bergischer Kreis,5378
662500,LK Rhein-Sieg-Kreis,5382
672591,SK Bottrop,5512
677672,SK Gelsenkirchen,5513
690000,SK Münster,5515
697506,LK Borken,5554
710002,LK Coesfeld,5558
