,IdLandkreis,Refdatum,AnzahlFall
0,1001,2021-01-01,5
1,1001,2021-01-02,7
2,1001,2021-01-03,4
3,1001,2021-01-04,16
4,1001,2021-01-05,20
5,1001,2021-01-06,16
6,1001,2021-01-07,40
7,1001,2021-01-08,14
8,1001,2021-01-09,19
9,1001,2021-01-10,21
10,1001,2021-01-11,9
11,1001,2021-01-12,25
12,1001,2021-01-13,19
13,1001,2021-01-14,24
14,1001,2021-01-15,19
15,1001,2021-01-16,10
16,1001,2021-01-17,13
17,1001,2021-01-18,22
18,1001,2021-01-19,26
19,1001,2021-01-20,34
20,1001,2021-01-21,22
21,1001,2021-01-22,30
22,1001,2021-01-23,19
23,1001,2021-01-24,12
24,1001,2021-01-25,14
25,1001,2021-01-26,22
26,1001,2021-01-27,17
27,1001,2021-01-28,24
28,1001,2021-01-29,15
29,1001,2021-01-30,9
30,1001,2021-01-31,20
31,1001,2021-02-01,21
32,1001,2021-02-02,17
33,1001,2021-02-03,26
34,1001,2021-02-04,19
35,1001,2021-02-05,21
36,1001,2021-02-06,16
37,1001,2021-02-07,15
38,1001,2021-02-08,18
39,1001,2021-02-09,11
40,1001,2021-02-10,15
41,1001,2021-02-11,30
42,1001,2021-02-12,17
43,1001,2021-02-13,38
44,1001,2021-02-14,28
45,1001,2021-02-15,15
46,1001,2021-02-16,29
47,1001,2021-02-17,20
48,1001,2021-02-18,25
49,1001,2021-02-19,19
50,1001,2021-02-20,25
51,1001,2021-02-21,14
52,1001,2021-02-22,15
53,1001,2021-02-23,15
54,1001,2021-02-24,24
55,1001,2021-02-25,16
56,1001,2021-02-26,24
57,1001,2021-02-27,18
58,1001,2021-02-28,11
59,1001,2021-03-01,18
60,1001,2021-03-02,10
61,1001,2021-03-03,12
62,1001,2021-03-04,10
63,1001,2021-03-05,10
64,1001,2021-03-06,14
65,1001,2021-03-07,9
66,1001,2021-03-08,14
67,1001,2021-03-09,8
68,1001,2021-03-10,10
69,1001,2021-03-11,12
70,1001,2021-03-12,13
71,1001,2021-03-13,8
72,1001,2021-03-14,7
73,1001,2021-03-15,10
74,1001,2021-03-16,13
75,1001,2021-03-17,11
76,1001,2021-03-18,15
77,1001,2021-03-19,11
78,1001,2021-03-20,9
79,1001,2021-03-21,8
80,1001,2021-03-22,18
81,1001,2021-03-23,8
82,1001,2021-03-24,18
83,1001,2021-03-25,8
84,1001,2021-03-26,31
85,1001,2021-03-27,7
86,1001,2021-03-28,5
87,1001,2021-03-29,14
88,1001,2021-03-30,10
89,1001,2021-03-31,10
90,1001,2021-04-01,10
91,1001,2021-04-02,16
92,1001,2021-04-03,4
93,1001,2021-04-04,6
94,1001,2021-04-05,8
95,1001,2021-04-06,7
96,1001,2021-04-07,12
97,1001,2021-04-08,14
98,1001,2021-04-09,5
99,1001,2021-04-10,4
100,1001,2021-04-11,7
101,1001,2021-04-12,4
102,1001,2021-04-13,1
103,1001,2021-04-14,7
104,1001,2021-04-15,12
105,1001,2021-04-16,3
106,1001,2021-04-17,3
107,1001,2021-04-18,6
108,1001,2021-04-19,5
109,1001,2021-04-20,5
110,1001,2021-04-21,6
111,1001,2021-04-22,6
112,1001,2021-04-23,5
113,1001,2021-04-24,8
114,1001,2021-04-25,3
115,1001,2021-04-26,4
116,1001,2021-04-27,5
117,1001,2021-04-28,9
118,1001,2021-04-29,5
119,1001,2021-04-30,6
120,1001,2021-05-01,4
121,1001,2021-05-03,3
122,1001,2021-05-04,12
123,1001,2021-05-05,4
124,1001,2021-05-06,2
125,1001,2021-05-07,1
126,1001,2021-05-11,2
127,1001,2021-05-12,4
128,1001,2021-05-14,3
129,1001,2021-05-15,1
130,1001,2021-05-16,2
131,1001,2021-05-18,2
132,1001,2021-05-19,3
133,1001,2021-05-21,1
134,1001,2021-05-22,2
135,1001,2021-05-24,2
136,1001,2021-05-25,3
137,1001,2021-05-26,3
138,1001,2021-05-28,1
139,1001,2021-05-29,1
140,1001,2021-05-30,1
141,1001,2021-05-31,3
142,1001,2021-06-01,1
143,1001,2021-06-03,1
144,1001,2021-06-05,1
145,1001,2021-06-12,1
146,1001,2021-06-17,1
147,1001,2021-06-19,1
148,1001,2021-06-28,1
149,1001,2021-06-29,1
150,1001,2021-07-01,1
151,1001,2021-07-02,1
152,1001,2021-07-08,2
153,1001,2021-07-09,1
154,1001,2021-07-11,2
155,1001,2021-07-12,1
156,1001,2021-07-14,1
157,1001,2021-07-15,1
158,1001,2021-07-17,1
159,1001,2021-07-18,1
160,1001,2021-07-19,2
161,1001,2021-07-20,4
162,1001,2021-07-21,3
163,1001,2021-07-22,2
164,1001,2021-07-23,1
165,1001,2021-07-24,10
166,1001,2021-07-25,4
167,1001,2021-07-26,4
168,1001,2021-07-27,6
169,1001,2021-07-28,2
170,1001,2021-07-29,3
171,1001,2021-07-30,11
172,1001,2021-07-31,6
173,1001,2021-08-01,4
174,1001,2021-08-02,7
175,1001,2021-08-03,14
176,1001,2021-08-04,22
