,Unnamed: 0,IdLandkreis,Refdatum,AnzahlFall
25299,25299,5315,2021-12-05,449
25298,25298,5315,2021-12-04,405
25297,25297,5315,2021-12-03,690
25296,25296,5315,2021-12-02,573
25295,25295,5315,2021-12-01,773
25294,25294,5315,2021-11-30,788
25293,25293,5315,2021-11-29,812
25292,25292,5315,2021-11-28,704
25291,25291,5315,2021-11-27,636
25290,25290,5315,2021-11-26,740
25289,25289,5315,2021-11-25,311
25288,25288,5315,2021-11-24,418
25287,25287,5315,2021-11-23,401
25286,25286,5315,2021-11-22,415
25285,25285,5315,2021-11-21,551
25284,25284,5315,2021-11-20,600
25283,25283,5315,2021-11-19,652
25282,25282,5315,2021-11-18,613
25281,25281,5315,2021-11-17,472
25280,25280,5315,2021-11-16,455
25279,25279,5315,2021-11-15,233
25278,25278,5315,2021-11-14,428
25277,25277,5315,2021-11-13,507
25276,25276,5315,2021-11-12,369
25275,25275,5315,2021-11-11,378
25274,25274,5315,2021-11-10,402
25273,25273,5315,2021-11-09,389
25272,25272,5315,2021-11-08,220
25271,25271,5315,2021-11-07,243
25270,25270,5315,2021-11-06,421
25269,25269,5315,2021-11-05,443
25268,25268,5315,2021-11-04,433
25267,25267,5315,2021-11-03,281
25266,25266,5315,2021-11-02,194
25265,25265,5315,2021-11-01,89
25264,25264,5315,2021-10-31,119
25263,25263,5315,2021-10-30,269
25262,25262,5315,2021-10-29,332
25261,25261,5315,2021-10-28,323
25260,25260,5315,2021-10-27,309
25259,25259,5315,2021-10-26,264
25258,25258,5315,2021-10-25,153
25257,25257,5315,2021-10-24,67
25256,25256,5315,2021-10-23,192
25255,25255,5315,2021-10-22,162
25254,25254,5315,2021-10-21,176
25253,25253,5315,2021-10-20,174
25252,25252,5315,2021-10-19,196
25251,25251,5315,2021-10-18,81
25250,25250,5315,2021-10-17,79
25249,25249,5315,2021-10-16,78
25248,25248,5315,2021-10-15,132
25247,25247,5315,2021-10-14,125
25246,25246,5315,2021-10-13,119
25245,25245,5315,2021-10-12,115
25244,25244,5315,2021-10-11,45
25243,25243,5315,2021-10-10,19
25242,25242,5315,2021-10-09,121
25241,25241,5315,2021-10-08,122
25240,25240,5315,2021-10-07,120
25239,25239,5315,2021-10-06,111
25238,25238,5315,2021-10-05,120
25237,25237,5315,2021-10-04,61
25236,25236,5315,2021-10-03,78
25235,25235,5315,2021-10-02,113
25234,25234,5315,2021-10-01,80
25233,25233,5315,2021-09-30,102
25232,25232,5315,2021-09-29,182
25231,25231,5315,2021-09-28,112
25230,25230,5315,2021-09-27,72
25229,25229,5315,2021-09-26,53
25228,25228,5315,2021-09-25,99
25227,25227,5315,2021-09-24,108
25226,25226,5315,2021-09-23,76
25225,25225,5315,2021-09-22,148
25224,25224,5315,2021-09-21,89
25223,25223,5315,2021-09-20,103
25222,25222,5315,2021-09-19,66
25221,25221,5315,2021-09-18,74
25220,25220,5315,2021-09-17,62
25219,25219,5315,2021-09-16,61
25218,25218,5315,2021-09-15,93
25217,25217,5315,2021-09-14,101
25216,25216,5315,2021-09-13,143
25215,25215,5315,2021-09-12,127
25214,25214,5315,2021-09-11,133
25213,25213,5315,2021-09-10,159
25212,25212,5315,2021-09-09,157
25211,25211,5315,2021-09-08,161
25210,25210,5315,2021-09-07,153
25209,25209,5315,2021-09-06,158
25208,25208,5315,2021-09-05,168
25207,25207,5315,2021-09-04,160
25206,25206,5315,2021-09-03,231
25205,25205,5315,2021-09-02,170
25204,25204,5315,2021-09-01,199
25203,25203,5315,2021-08-31,183
25202,25202,5315,2021-08-30,182
25201,25201,5315,2021-08-29,146
25200,25200,5315,2021-08-28,253
25199,25199,5315,2021-08-27,236
25198,25198,5315,2021-08-26,272
25197,25197,5315,2021-08-25,249
25196,25196,5315,2021-08-24,282
25195,25195,5315,2021-08-23,284
25194,25194,5315,2021-08-22,207
25193,25193,5315,2021-08-21,289
25192,25192,5315,2021-08-20,275
25191,25191,5315,2021-08-19,247
25190,25190,5315,2021-08-18,258
25189,25189,5315,2021-08-17,208
25188,25188,5315,2021-08-16,195
25187,25187,5315,2021-08-15,218
25186,25186,5315,2021-08-14,148
25185,25185,5315,2021-08-13,168
25184,25184,5315,2021-08-12,174
25183,25183,5315,2021-08-11,145
25182,25182,5315,2021-08-10,145
25181,25181,5315,2021-08-09,132
25180,25180,5315,2021-08-08,113
25179,25179,5315,2021-08-07,107
25178,25178,5315,2021-08-06,79
25177,25177,5315,2021-08-05,90
25176,25176,5315,2021-08-04,97
25175,25175,5315,2021-08-03,96
25174,25174,5315,2021-08-02,97
25173,25173,5315,2021-08-01,64
25172,25172,5315,2021-07-31,62
25171,25171,5315,2021-07-30,61
25170,25170,5315,2021-07-29,61
25169,25169,5315,2021-07-28,84
25168,25168,5315,2021-07-27,64
25167,25167,5315,2021-07-26,60
25166,25166,5315,2021-07-25,43
25165,25165,5315,2021-07-24,51
