,Unnamed: 0,IdLandkreis,Refdatum,AnzahlFall
25113,25113,5315,2021-12-02,489
25112,25112,5315,2021-12-01,782
25111,25111,5315,2021-11-30,754
25110,25110,5315,2021-11-29,807
25109,25109,5315,2021-11-28,707
25108,25108,5315,2021-11-27,631
25107,25107,5315,2021-11-26,736
25106,25106,5315,2021-11-25,312
25105,25105,5315,2021-11-24,418
25104,25104,5315,2021-11-23,401
25103,25103,5315,2021-11-22,415
25102,25102,5315,2021-11-21,552
25101,25101,5315,2021-11-20,601
25100,25100,5315,2021-11-19,652
25099,25099,5315,2021-11-18,614
25098,25098,5315,2021-11-17,472
25097,25097,5315,2021-11-16,454
25096,25096,5315,2021-11-15,232
25095,25095,5315,2021-11-14,428
25094,25094,5315,2021-11-13,507
25093,25093,5315,2021-11-12,369
25092,25092,5315,2021-11-11,378
25091,25091,5315,2021-11-10,402
25090,25090,5315,2021-11-09,389
25089,25089,5315,2021-11-08,220
25088,25088,5315,2021-11-07,243
25087,25087,5315,2021-11-06,421
25086,25086,5315,2021-11-05,443
25085,25085,5315,2021-11-04,433
25084,25084,5315,2021-11-03,281
25083,25083,5315,2021-11-02,194
25082,25082,5315,2021-11-01,89
25081,25081,5315,2021-10-31,119
25080,25080,5315,2021-10-30,269
25079,25079,5315,2021-10-29,332
25078,25078,5315,2021-10-28,323
25077,25077,5315,2021-10-27,309
25076,25076,5315,2021-10-26,264
25075,25075,5315,2021-10-25,153
25074,25074,5315,2021-10-24,67
25073,25073,5315,2021-10-23,192
25072,25072,5315,2021-10-22,162
25071,25071,5315,2021-10-21,176
25070,25070,5315,2021-10-20,174
25069,25069,5315,2021-10-19,196
25068,25068,5315,2021-10-18,81
25067,25067,5315,2021-10-17,79
25066,25066,5315,2021-10-16,78
25065,25065,5315,2021-10-15,132
25064,25064,5315,2021-10-14,125
25063,25063,5315,2021-10-13,119
25062,25062,5315,2021-10-12,115
25061,25061,5315,2021-10-11,45
25060,25060,5315,2021-10-10,19
25059,25059,5315,2021-10-09,121
25058,25058,5315,2021-10-08,122
25057,25057,5315,2021-10-07,120
25056,25056,5315,2021-10-06,111
25055,25055,5315,2021-10-05,120
25054,25054,5315,2021-10-04,61
25053,25053,5315,2021-10-03,78
25052,25052,5315,2021-10-02,113
25051,25051,5315,2021-10-01,80
